069;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΧΑΝΙΩΝ Συν. Π.Ε.;COOPERATIVE BANK OF CHANIA COOP. L.L.;Ελ. Βενιζέλου 28-32, Χανιά 731 32;28-32, El. Venizelou Str. GR-731 32 Chania;28210-25500;28210-25591;;www.chaniabank.gr;www.chaniabank.gr;STXAGRA1;;
071;HSBC BANK PLC;HSBC BANK PLC;Λεωφ. Μεσογείων 109-111, 115 26 Αθήνα;109-111 Messoghion Ave, GR-115 26 Athens;210-6960000;210-6928000;222318 MIDA GR;www.hsbc.gr;www.hsbc.gr;MIDLGRAA;;
072;UNICREDIT BANK AG;UNICREDIT BANK AG;Ηρακλείτου 7, Κολωνάκι, 10673 Αθήνα;7, Heraklitou st. Kolonaki, GR-10673 Athens;210-3671500, 210-3640940;210-3640063;HYVEGRAA;www.unicreditgroup.gr;www.unicreditgroup.gr;HYVEGRAA;;
073;ΤΡΑΠΕΖΑ ΚΥΠΡΟΥ ΔΗΜΟΣΙΑ ΕΤΑΙΡΕΙΑ ΛΤΔ (*);BANK OF CYPRUS PUBLIC COMPANY LTD (*);Λ. Αλεξάνδρας 192, 115 21 Αθήνα;192, Alexandras Avenue, GR-115 21 Athens;210-6412580;210-6436464;;;;;;
075;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΗΠΕΙΡΟΥ Συν. Π.Ε.;COOPERATIVE BANK OF EPIRUS L.T.D;Πατριάρχου Ιωακείμ 6 & Καραπάνου, Ιωάννινα 452 21;Patriarxou Ioakim 6 and Karapanou str, GR-452 21 Ioannina;26510-59000;26510-28065;;www.epirusbank.gr;www.epirusbank.gr;STIOGR21;;
081;ΜΠΑΝΚ ΟΦ ΑΜΕΡΙΚΑ ΝΑ;BANK OF AMERICA NA;Βασ. Σοφίας 68, 115 28 Αθήνα ;68, Vassilissis Sofias Ave., GR-115 28 Athens;210-7415000;210-7243102;;www.bankamerica.com;www.bankamerica.com;BOFAGR2X;;
084;CITIBANK EUROPE PLC;CITIBANK INTERNATIONAL LTD;Οθωνος 8, 105 57 Αθήνα ;8 Othonos str, GR-105 57 Athens;210-3292000;210-3243277;;http://citigroup.com/citi/about/countrypresence/greece.html;http://citigroup.com/citi/about/countrypresence/greece.html;CITIGRAA;;
087;ΠΑΓΚΡΗΤΙΑ ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ Συν. Π.Ε.;PANCRETAN COOPERATIVE BANK LTD.;Λεωφ. Ικάρου 5 & Εφέσσου, Ηράκλειο 713 06;5, Ikarou Ave & Efessou, GR-713 06 Heraklion;2810-338800;2810-341318;;www.pancretabank.gr;www.pancretabank.gr;STPGGRA1;;
088;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ Ν. ΕΒΡΟΥ Συν. Π.Ε.;COOPERATIVE BANK OF EVROS;Λ. Δημοκρατίας 137, Αλεξ/πολη 681 32;137, Dimocratias Av., GR-681 32 Alexandroupolis;25510-24207;25510-24047;-;www.evrosbank.gr;www.evrosbank.gr;STEOGR21;;
089;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΚΑΡΔΙΤΣΑΣ Συν. Π.Ε.;COOPERATIVE BANK OF KARDITSA;Εμπορικό Κέντρο Ταλιαδούρου & Κολοκοτρώνη, Καρδίτσα 431 00;Shopping Center Taliadourou & Kolokotroni, GR-431 00 Karditsa;24410-40099;24410-80883;;www.bankofkarditsa.gr;www.bankofkarditsa.gr;STKAGRA1;;
091;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΘΕΣΣΑΛΙΑΣ Συν. Π.Ε.;COOPERATIVE BANK OF THESSALΥ;ΚΟΝΔΥΛΗ 61-63, ΤΡΙΚΑΛΑ 421 00;KONDYLI 61-63, TRIKALA 421 00;2431095400;24310 76101;;www.bankofthessaly.gr;;STTKGR21;;
092;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΠΕΛΟΠΟΝΝΗΣΟΥ Συν. Π.Ε. (**);COOPERATIVE BANK OF PELOPONNESE COOP. LTD (**);Λεωφόρος Αθηνών 33, Κόρινθος 201 00;33, Athinon Avenue, GR-201 00 Corinth;27410-85390;27410-77112;;www.cbp.gr;www.cbp.gr;STKPGRA1;;
094;"ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΠΙΕΡΙΑΣ ""ΟΛΥΜΠΙΑΚΗ ΠΙΣΤΗ"" Συν. Π.Ε.";COOPERATIVE BANK OF PIERIA-OLYMPIC CREDIT LTD.;Εθνικής Αντίστασης 5, Κατερίνη 601 00;5, Ethnikis Antistasis str., GR-601 00 Katerini;23510-30996;23510-75710;;www.pieriabank.gr;www.pieriabank.gr;STPIGR21;;
095;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΔΡΑΜΑΣ Συν. Π.Ε.;COOPERATIVE BANK OF DRAMA ;Μεγάλου Αλεξάνδρου 7 & Κ. Νταή, 661 00 Δράμα;7, Megalou Alexandrou str., GR-661 00 Drama;25210-28400;25210-27819;;www.dramabank.gr;www.dramabank.gr;STDRGR21;;
097;ΤΑΜΕΙΟ ΠΑΡΑΚΑΤΑΘΗΚΩΝ & ΔΑΝΕΙΩΝ;CONSIGNMENT DEPOSITS & LOANS FUND;Ακαδημίας 40 Αθήνα 10174;40 Akademias str., GR-101 74 Athens;213-2116100;210-3609545;;www.tpd.gr;www.tpd.gr;CDLFGRA1;;
099;ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ Ν. ΣΕΡΡΩΝ Συν. Π.Ε.;COOPERATIVE BANK OF SERRES;Βασ. Βασιλείου & Νικ. Πλαστήρα, Σέρρες 621 22 ;V. Vasileiou & N. Plastira, GR-621 21 Serres;23210-98050;23210-98069;;www.serrescoopbank.gr;www.serrescoopbank.gr;COESGR21;;
102;VOLKSWAGEN BANK GMBH;VOLKSWAGEN BANK GMBH;Λ. Βουλιαγμένης 409 Α, 163 46 Ηλιούπολη;409 A, Leoforos Vouliagmenis, GR-163 46 Ilioupoli;210-8925900;210-8925959;;www.volkswagenbank.gr;www.volkswagenbank.gr;VOWAGRA1;;
105;BMW AUSTRIA BANK GmbH;BMW AUSTRIA BANK GmbH;Ζέππου 33, 166 75 Γλυφάδα;33, Zeppou Str., 166 75 Glyfada;210-9118500;210-9118505;;www.bmw.gr;www.bmw.gr;BMASGRA1;;
106;MERCEDES-BENZ BANK POLSKA S.A.;MERCEDES-BENZ BANK POLSKA S.A.;Θηβαϊδος 20, 145 64 Νέα Κηφισιά;20, Thivaidos str., GR-145 64 Nea Kifissia;210-8188800;210-8188840;;www.mercedes-benz.gr;www.mercedes-benz.gr;;;
107;KEDR OPEN JOINT-STOCK COMPANY COMMERCIAL BANK;KEDR OPEN JOINT-STOCK COMPANY COMMERCIAL BANK;Λ. Συγγρού 130, 176 71 Καλλιθέα;130, Syngrou Ave, GR-176 71 Kallithea;210-9241650;210-9241641;;www.kedr.gr;www.kedr.gr;KEDRGRAA;;
109;T.C ZIRAAT BANKASI A.S;T.C ZIRAAT BANKASI A.S;Ερμού 2, 105 63 Αθήνα;2, Ermou Str., GR-105 63 Athens;210-3223038;210-3221796;;www.ziraatbank.com.gr;www.ziraatbank.com.gr;TCZBGRAT;;
111;DEUTSCHE BANK AG;DEUTSCHE BANK AG;Βασ. Σοφίας 23Α, 106 74 Αθήνα;23A, Vas. Sofias Ave., GR-106 74 Athens;210-7208700;210-7232451;;www.db.com;www.db.com;;;
113;CREDIT SUISSE (LUXEMBOURG) S.A.;CREDIT SUISSE (LUXEMBOURG) S.A.;Πατριάρχου Ιωακείμ 38, 106 75 Αθήνα;38, Patriarxou Ioakim, GR-106 75 Athens;210-7208005;210-7298109;;;;;;
114;FIMBANK PLC.;FIMBANK PLC.;Λ.Κηφισίας 44, Monumental Plaza, Κτίριο Γ', 151 25 Μαρούσι;"44, Kifissias Avenue, Monumental Plaza, Bulding ""Gamma"", GR-151 25 Marousi";212-2222100;212-2222130;;www.fimbank.com;www.fimbank.com;;;
115;HSH NORDBANK AG;HSH NORDBANK AG;Φιλελλήνων 2 & Ακτή Μιαούλη, 185 36 Πειραιάς;2 Filellinon & Akti Miaouli, 185 36 Piraeus;210-4295300-310-330;210-4295 323;;www.hsh-nordbank.com;www.hsh-nordbank.com;;;
116;PROCREDIT BANK (BULGARIA) EAD;PROCREDIT BANK (BULGARIA) EAD;26ης Οκτωβρίου 54-56 & Πηγάσου;54-56, 26th Octovriou & Pigassou streets;2316 008840;2316 008841;;;;;;
